"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"03/12/2003","77","","Reseda","06-037-1201","AQS"
"03/13/2003","108","","Santa Clarita","06-037-6012","AQS"
"03/14/2003","44","","Costa Mesa","06-059-1003","AQS"
"03/15/2003","36","","Costa Mesa","06-059-1003","AQS"
"03/16/2003","45","","Santa Clarita","06-037-6012","AQS"
"03/17/2003","44","","Azusa","06-037-0002","AQS"
"03/18/2003","44","","Santa Clarita","06-037-6012","AQS"
"03/19/2003","46","","Costa Mesa","06-059-1003","AQS"
"03/20/2003","51","","Costa Mesa","06-059-1003","AQS"
"03/21/2003","61","","Costa Mesa","06-059-1003","AQS"
"03/22/2003","84","","Mission Viejo","06-059-2022","AQS"
"03/23/2003","74","","Burbank","06-037-1002","AQS"
"03/24/2003","39","","West Los Angeles","06-037-0113","AQS"
"03/25/2003","44","","Reseda","06-037-1201","AQS"
"03/26/2003","46","","Costa Mesa","06-059-1003","AQS"
"03/27/2003","49","","Reseda","06-037-1201","AQS"
"03/28/2003","51","","Glendora","06-037-0016","AQS"
"03/29/2003","67","","Santa Clarita","06-037-6012","AQS"
"03/30/2003","100","","Costa Mesa","06-059-1003","AQS"
"03/31/2003","100","","Costa Mesa","06-059-1003","AQS"
"04/01/2003","58","","Lancaster-Division Street","06-037-9033","AQS"
"04/02/2003","48","","Costa Mesa","06-059-1003","AQS"
"04/03/2003","54","","Costa Mesa","06-059-1003","AQS"
"04/04/2003","51","","Costa Mesa","06-059-1003","AQS"
"04/05/2003","51","","Santa Clarita","06-037-6012","AQS"
"04/06/2003","58","","Mission Viejo","06-059-2022","AQS"
"04/07/2003","61","","Santa Clarita","06-037-6012","AQS"
"04/08/2003","80","","Reseda","06-037-1201","AQS"
"04/09/2003","119","","Santa Clarita","06-037-6012","AQS"
"04/10/2003","87","","Lancaster-Division Street","06-037-9033","AQS"
"04/11/2003","43","","Costa Mesa","06-059-1003","AQS"
"04/12/2003","45","","Santa Clarita","06-037-6012","AQS"
"04/13/2003","42","","Glendora","06-037-0016","AQS"
"04/14/2003","44","","Costa Mesa","06-059-1003","AQS"
"04/15/2003","50","","Costa Mesa","06-059-1003","AQS"
"04/16/2003","58","","Lancaster-Division Street","06-037-9033","AQS"
"04/17/2003","43","","Costa Mesa","06-059-1003","AQS"
"04/18/2003","51","","Costa Mesa","06-059-1003","AQS"
"04/19/2003","80","","Costa Mesa","06-059-1003","AQS"
"04/20/2003","105","","Santa Clarita","06-037-6012","AQS"
"04/21/2003","58","","Costa Mesa","06-059-1003","AQS"
"04/22/2003","58","","Costa Mesa","06-059-1003","AQS"
"04/23/2003","61","","Costa Mesa","06-059-1003","AQS"
"04/24/2003","67","","Costa Mesa","06-059-1003","AQS"
"04/25/2003","46","","Costa Mesa","06-059-1003","AQS"
"04/26/2003","71","","Santa Clarita","06-037-6012","AQS"
"04/27/2003","80","","Glendora","06-037-0016","AQS"
"04/28/2003","43","","Costa Mesa","06-059-1003","AQS"
"04/29/2003","51","","Costa Mesa","06-059-1003","AQS"
"04/30/2003","58","","Costa Mesa","06-059-1003","AQS"
"05/01/2003","61","","Reseda","06-037-1201","AQS"
"05/02/2003","47","","Costa Mesa","06-059-1003","AQS"
"05/03/2003","44","","Costa Mesa","06-059-1003","AQS"
"05/04/2003","50","","Santa Clarita","06-037-6012","AQS"
"05/05/2003","67","","Costa Mesa","06-059-1003","AQS"
"05/06/2003","77","","Reseda","06-037-1201","AQS"
"05/07/2003","42","","Costa Mesa","06-059-1003","AQS"
"05/08/2003","51","","Costa Mesa","06-059-1003","AQS"
"05/09/2003","49","","Santa Clarita","06-037-6012","AQS"
"05/10/2003","93","","Costa Mesa","06-059-1003","AQS"
"05/11/2003","159","","Santa Clarita","06-037-6012","AQS"
"05/12/2003","159","","Reseda","06-037-1201","AQS"
"05/13/2003","71","","Reseda","06-037-1201","AQS"
"05/14/2003","54","","Reseda","06-037-1201","AQS"
"05/15/2003","84","","Lancaster-Division Street","06-037-9033","AQS"
"05/16/2003","156","","Lancaster-Division Street","06-037-9033","AQS"
"05/17/2003","166","","Santa Clarita","06-037-6012","AQS"
"05/18/2003","179","","Santa Clarita","06-037-6012","AQS"
"05/19/2003","185","","Santa Clarita","06-037-6012","AQS"
"05/20/2003","185","","Glendora","06-037-0016","AQS"
"05/21/2003","200","","Mission Viejo","06-059-2022","AQS"
"05/22/2003","179","","Lancaster-Division Street","06-037-9033","AQS"
"05/23/2003","136","","Lancaster-Division Street","06-037-9033","AQS"
"05/24/2003","129","","Lancaster-Division Street","06-037-9033","AQS"
"05/25/2003","87","","Santa Clarita","06-037-6012","AQS"
"05/26/2003","174","","Glendora","06-037-0016","AQS"
"05/27/2003","179","","Reseda","06-037-1201","AQS"
"05/28/2003","205","","Glendora","06-037-0016","AQS"
"05/29/2003","150","","Santa Clarita","06-037-6012","AQS"
"05/30/2003","108","","Santa Clarita","06-037-6012","AQS"
"05/31/2003","169","","Santa Clarita","06-037-6012","AQS"
"06/01/2003","221","","Santa Clarita","06-037-6012","AQS"
"06/02/2003","147","","Lancaster-Division Street","06-037-9033","AQS"
"06/03/2003","150","","Lancaster-Division Street","06-037-9033","AQS"
"06/04/2003","166","","Lancaster-Division Street","06-037-9033","AQS"
"06/05/2003","147","","Lancaster-Division Street","06-037-9033","AQS"
"06/06/2003","143","","Lancaster-Division Street","06-037-9033","AQS"
"06/07/2003","140","","Lancaster-Division Street","06-037-9033","AQS"
"06/08/2003","161","","Santa Clarita","06-037-6012","AQS"
"06/09/2003","101","","Lancaster-Division Street","06-037-9033","AQS"
"06/10/2003","42","","West Los Angeles","06-037-0113","AQS"
"06/11/2003","64","","Reseda","06-037-1201","AQS"
"06/12/2003","74","","Lancaster-Division Street","06-037-9033","AQS"
